for_group_code,for_group_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,match_method
5002,History and philosophy of specific fields,1207,History and Philosophy of Science,True,1.0,manual_curated
5003,Philosophy,1211,Philosophy,True,1.0,manual_curated
5004,Religious studies,1212,Religious studies,True,1.0,manual_curated
5005,Theology,1212,Religious studies,True,1.0,manual_curated
5099,Other philosophy and religious studies,1200,General Arts and Humanities,True,1.0,manual_curated
5101,Astronomical sciences,3103,Astronomy and Astrophysics,True,1.0,manual_curated
5102,"Atomic, molecular and optical physics",3107,"Atomic and Molecular Physics, and Optics",True,1.0,manual_curated
5103,Classical physics,3109,Statistical and Nonlinear Physics,True,1.0,manual_curated
5104,Condensed matter physics,3104,Condensed Matter Physics,True,1.0,manual_curated
5105,Medical and biological physics,3108,Radiation,True,1.0,manual_curated
5106,Nuclear and plasma physics,3106,Nuclear and High Energy Physics,True,1.0,manual_curated
5107,Particle and high energy physics,3106,Nuclear and High Energy Physics,True,1.0,manual_curated
5108,Quantum physics,3104,Condensed Matter Physics,True,1.0,manual_curated
5109,Space sciences,3103,Astronomy and Astrophysics,True,1.0,manual_curated
5110,Synchrotrons and accelerators,3105,Instrumentation,True,1.0,manual_curated
5199,Other physical sciences,3102,Acoustics and Ultrasonics,True,1.0,manual_curated
5201,Applied and developmental psychology,3202,Applied Psychology,True,1.0,manual_curated
5202,Biological psychology,3206,Neuropsychology and Physiological Psychology,True,1.0,manual_curated
5203,Clinical and health psychology,3203,Clinical Psychology,True,1.0,manual_curated
5204,Cognitive and computational psychology,3205,Experimental and Cognitive Psychology,True,1.0,manual_curated
5205,Social and personality psychology,3207,Social Psychology,True,1.0,manual_curated
5299,Other psychology,3200,General Psychology,True,1.0,manual_curated
