code,level,label,parent_code
320199,field,Cardiovascular medicine and haematology not elsewhere classified,3201
3202,group,Clinical sciences,32
320201,field,Anaesthesiology,3202
320202,field,Clinical chemistry (incl. diagnostics),3202
320203,field,Clinical microbiology,3202
320204,field,Clinimetrics,3202
320205,field,Dermatology,3202
320206,field,Diagnostic radiography,3202
320207,field,Emergency medicine,3202
320208,field,Endocrinology,3202
320209,field,Gastroenterology and hepatology,3202
320210,field,Geriatrics and gerontology,3202
320211,field,Infectious diseases,3202
320212,field,Intensive care,3202
320213,field,Medical genetics (excl. cancer genetics),3202
320214,field,Nephrology and urology,3202
320215,field,Nuclear medicine,3202
320216,field,Orthopaedics,3202
320217,field,Otorhinolaryngology,3202
320218,field,Pain,3202
320219,field,Paramedicine,3202
320220,field,Pathology (excl. oral pathology),3202
320221,field,Psychiatry (incl. psychotherapy),3202
320222,field,Radiology and organ imaging,3202
320223,field,Rheumatology and arthritis,3202
320224,field,Rural clinical health,3202
320225,field,Sports medicine,3202
320226,field,Surgery,3202
320227,field,Venereology,3202
320299,field,Clinical sciences not elsewhere classified,3202
3203,group,Dentistry,32
320301,field,Craniofacial biology,3203
320302,field,Dental materials and equipment,3203
320303,field,"Dental therapeutics, pharmacology and toxicology",3203
320304,field,Endodontics,3203
320305,field,Oral and maxillofacial surgery,3203
320306,field,Oral implantology,3203
320307,field,Oral medicine and pathology,3203
320308,field,Orthodontics and dentofacial orthopaedics,3203
320309,field,Paedodontics,3203
320310,field,Periodontics,3203
320311,field,Prosthodontics,3203
320312,field,Special needs dentistry,3203
320399,field,Dentistry not elsewhere classified,3203
3204,group,Immunology,32
320401,field,Allergy,3204
320402,field,"Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)",3204
320403,field,Autoimmunity,3204
320404,field,Cellular immunology,3204
320405,field,Humoural immunology and immunochemistry,3204
320406,field,Immunogenetics (incl. genetic immunology),3204
320407,field,Innate immunity,3204
320408,field,Transplantation immunology,3204
320409,field,Tumour immunology,3204
320499,field,Immunology not elsewhere classified,3204
3205,group,Medical biochemistry and metabolomics,32
320501,field,Medical biochemistry - amino acids and metabolites,3205
320502,field,Medical biochemistry - carbohydrates,3205
320503,field,Medical biochemistry - inorganic elements and compounds,3205
320504,field,Medical biochemistry - lipids,3205
320505,field,Medical biochemistry - nucleic acids,3205
320506,field,Medical biochemistry - proteins and peptides (incl. medical proteomics),3205
320507,field,Metabolic medicine,3205
320599,field,Medical biochemistry and metabolomics not elsewhere classified,3205
3206,group,Medical biotechnology,32
320601,field,Gene and molecular therapy,3206
320602,field,Medical biotechnology diagnostics (incl. biosensors),3206
320603,field,Medical molecular engineering of nucleic acids and proteins,3206
320604,field,Nanomedicine,3206
320605,field,"Nanotoxicology, health and safety",3206
320606,field,Regenerative medicine (incl. stem cells),3206
320699,field,Medical biotechnology not elsewhere classified,3206
3207,group,Medical microbiology,32
320701,field,Medical bacteriology,3207
320702,field,Medical infection agents (incl. prions),3207
320703,field,Medical mycology,3207
320704,field,Medical parasitology,3207
320705,field,Medical virology,3207
320799,field,Medical microbiology not elsewhere classified,3207
3208,group,Medical physiology,32
320801,field,Cell physiology,3208
320802,field,Human biophysics,3208
320803,field,Systems physiology,3208
320899,field,Medical physiology not elsewhere classified,3208
3209,group,Neurosciences,32
320901,field,Autonomic nervous system,3209
320902,field,Cellular nervous system,3209
320903,field,Central nervous system,3209
320904,field,Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience),3209
320905,field,Neurology and neuromuscular diseases,3209
320906,field,Peripheral nervous system,3209
320907,field,Sensory systems,3209
320999,field,Neurosciences not elsewhere classified,3209
3210,group,Nutrition and dietetics,32
321001,field,Clinical nutrition,3210
321002,field,Food properties (incl. characteristics and health benefits),3210
321003,field,Nutrigenomics and personalised nutrition,3210
321004,field,Nutritional science,3210
321005,field,Public health nutrition,3210
321006,field,Sport and exercise nutrition,3210
321099,field,Nutrition and dietetics not elsewhere classified,3210
3211,group,Oncology and carcinogenesis,32
321101,field,Cancer cell biology,3211
321102,field,Cancer diagnosis,3211
321103,field,Cancer genetics,3211
321104,field,Cancer therapy (excl. chemotherapy and radiation therapy),3211
321105,field,Chemotherapy,3211
321106,field,Haematological tumours,3211
321107,field,Liquid biopsies,3211
321108,field,Molecular targets,3211
321109,field,Predictive and prognostic markers,3211
321110,field,Radiation therapy,3211
321111,field,Solid tumours,3211
321199,field,Oncology and carcinogenesis not elsewhere classified,3211
3212,group,Ophthalmology and optometry,32
321201,field,Ophthalmology,3212
321202,field,Optical technology,3212
321203,field,Optometry,3212
321204,field,Vision science,3212
321299,field,Ophthalmology and optometry not elsewhere classified,3212
3213,group,Paediatrics,32
321301,field,Adolescent health,3213
321302,field,Infant and child health,3213
321303,field,Neonatology,3213
321399,field,Paediatrics not elsewhere classified,3213
3214,group,Pharmacology and pharmaceutical sciences,32
321401,field,Basic pharmacology,3214
321402,field,Clinical pharmacology and therapeutics,3214
321403,field,Clinical pharmacy and pharmacy practice,3214
321404,field,Pharmaceutical delivery technologies,3214
321405,field,Pharmaceutical sciences,3214
321406,field,Pharmacogenomics,3214
