code,level,label,parent_code
150399,objective,Management and productivity not elsewhere classified,1503
1504,group,Measurement standards and calibration services,15
150401,objective,Agricultural and environmental standards and calibrations,1504
150402,objective,Defence standards and calibrations,1504
150403,objective,Manufacturing standards and calibrations,1504
150404,objective,Service industries standards and calibrations,1504
150499,objective,Measurement standards and calibration services not elsewhere classified,1504
1505,group,Microeconomics,15
150501,objective,Consumption,1505
150502,objective,Human capital issues,1505
150503,objective,Industrial organisations,1505
150504,objective,Industry costs and structure,1505
150505,objective,Industry policy,1505
150506,objective,Market-based mechanisms,1505
150507,objective,Micro labour market issues,1505
150508,objective,Microeconomic effects of taxation,1505
150509,objective,"Preference, behaviour and welfare",1505
150510,objective,Production,1505
150511,objective,Supply and demand,1505
150599,objective,Microeconomics not elsewhere classified,1505
1599,group,Other economic framework,15
159901,objective,Carbon and emissions trading,1599
159902,objective,Ecological economics,1599
159999,objective,Other economic framework not elsewhere classified,1599
16,division,EDUCATION AND TRAINING,
1601,group,Learner and learning,16
160101,objective,Early childhood education,1601
160102,objective,Higher education,1601
160103,objective,Primary education,1601
160104,objective,Professional development and adult education,1601
160105,objective,Secondary education,1601
160199,objective,Learner and learning not elsewhere classified,1601
1602,group,Schools and learning environments,16
160201,objective,Equity and access to education,1602
160202,objective,Gender aspects in education,1602
160203,objective,Inclusive education,1602
160204,objective,"Management, resources and leadership",1602
160205,objective,Policies and development,1602
160206,objective,Workforce transition and employment,1602
160299,objective,Schools and learning environments not elsewhere classified,1602
1603,group,Teaching and curriculum,16
160301,objective,"Assessment, development and evaluation of curriculum",1603
160302,objective,Pedagogy,1603
160303,objective,Teacher and instructor development,1603
160304,objective,Teaching and instruction technologies,1603
160399,objective,Teaching and curriculum not elsewhere classified,1603
1699,group,Other education and training,16
169999,objective,Other education and training not elsewhere classified,1699
17,division,ENERGY,
1701,group,Energy efficiency,17
170101,objective,Commercial energy efficiency,1701
170102,objective,Industrial energy efficiency,1701
170103,objective,Residential energy efficiency,1701
170104,objective,Transport energy efficiency,1701
170199,objective,Energy efficiency not elsewhere classified,1701
1702,group,Energy exploration,17
170201,objective,Coal exploration,1702
170202,objective,Geothermal exploration,1702
170203,objective,Oil and gas exploration,1702
170204,objective,Oil shale and tar sands exploration,1702
170205,objective,Uranium exploration,1702
170299,objective,Energy exploration not elsewhere classified,1702
1703,group,"Energy storage, distribution and supply",17
170301,objective,Battery storage,1703
170302,objective,Carbon capture and storage,1703
170303,objective,Energy services and utilities,1703
170304,objective,Energy storage (excl. hydrogen and batteries),1703
170305,objective,Energy systems and analysis,1703
170306,objective,Energy transmission and distribution (excl. hydrogen),1703
170307,objective,Hydrogen distribution,1703
170308,objective,Hydrogen storage,1703
170309,objective,Smart grids,1703
170399,objective,"Energy storage, distribution and supply not elsewhere classified",1703
1704,group,Energy transformation,17
170401,objective,Fuel cells (excl. solid oxide),1704
170402,objective,Hydrogen-based energy systems,1704
170403,objective,Nuclear energy,1704
170404,objective,Solid oxide fuel cells,1704
170405,objective,Transformation of coal into electricity,1704
170406,objective,Transformation of coal into fuels,1704
170407,objective,Transformation of electricity and material feedstocks into fuels,1704
170408,objective,Transformation of gas into electricity,1704
170409,objective,Transformation of gas into fuels,1704
170499,objective,Energy transformation not elsewhere classified,1704
1705,group,Environmentally sustainable energy activities,17
170501,objective,Management of gaseous waste from energy activities (excl. greenhouse gases),1705
170502,objective,Management of liquid waste from energy activities (excl. water),1705
170503,objective,Management of solid waste from energy activities,1705
170504,objective,Management of water consumption by energy activities,1705
170599,objective,Environmentally sustainable energy activities not elsewhere classified,1705
1706,group,Mining and extraction of energy resources,17
170601,objective,Coal mining and extraction,1706
170602,objective,Geothermal energy extraction,1706
170603,objective,Oil and gas extraction,1706
170604,objective,Oil shale and tar sands mining and extraction,1706
170605,objective,Uranium mining and extraction,1706
170699,objective,Mining and extraction of energy resources not elsewhere classified,1706
1707,group,Processing of energy sources,17
170701,objective,Biomass processing,1707
170702,objective,Hydrogen production from fossil fuels,1707
170703,objective,Hydrogen production from nuclear energy,1707
170704,objective,Hydrogen production from renewable energy,1707
170705,objective,Oil and gas processing,1707
170706,objective,Preparation of black coal,1707
170707,objective,Preparation of brown coal (lignite),1707
170708,objective,Preparation of oil shale and tar sands,1707
170709,objective,Preparation of uranium,1707
170799,objective,Processing of energy sources not elsewhere classified,1707
1708,group,Renewable energy,17
170801,objective,Biofuel energy,1708
170802,objective,Geothermal energy,1708
170803,objective,Hydro-electric energy,1708
170804,objective,Solar-photovoltaic energy,1708
170805,objective,Solar-thermal energy,1708
170806,objective,Tidal energy,1708
170807,objective,Wave energy,1708
170808,objective,Wind energy,1708
170899,objective,Renewable energy not elsewhere classified,1708
1799,group,Other energy,17
179999,objective,Other energy not elsewhere classified,1799
18,division,ENVIRONMENTAL MANAGEMENT,
1801,group,"Air quality, atmosphere and weather",18
180101,objective,Air quality,1801
180102,objective,Atmospheric composition (incl. greenhouse gas inventory),1801
180103,objective,Atmospheric processes and dynamics,1801
180104,objective,Weather,1801
180199,objective,"Air quality, atmosphere and weather not elsewhere classified",1801
1802,group,Coastal and estuarine systems and management,18
180201,objective,Assessment and management of coastal and estuarine ecosystems,1802
180202,objective,Coastal erosion,1802
180203,objective,Coastal or estuarine biodiversity,1802
180204,objective,"Control of pests, diseases and exotic species in coastal and estuarine environments",1802
180205,objective,Measurement and assessment of estuarine water quality,1802
180206,objective,Rehabilitation or conservation of coastal or estuarine environments,1802
180299,objective,Coastal and estuarine systems and management not elsewhere classified,1802
1803,group,"Fresh, ground and surface water systems and management",18
180301,objective,Assessment and management of freshwater ecosystems,1803
180302,objective,"Control of pests, diseases and exotic species in fresh, ground and surface water",1803
180303,objective,"Fresh, ground and surface water biodiversity",1803
180304,objective,Freshwater assimilative capacity,1803
180305,objective,"Ground water quantification, allocation and impact of depletion",1803
180306,objective,Measurement and assessment of freshwater quality (incl. physical and chemical conditions of water),1803
180307,objective,"Rehabilitation or conservation of fresh, ground and surface water environments",1803
180308,objective,"Surface water quantification, allocation and impact of depletion",1803
180399,objective,"Fresh, ground and surface water systems and management not elsewhere classified",1803
1804,group,Management of Antarctic and Southern Ocean environments,18
180401,objective,Antarctic and Southern Ocean ice dynamics,1804
180402,objective,Antarctic and Southern Ocean oceanic processes,1804
180403,objective,Assessment and management of Antarctic and Southern Ocean ecosystems,1804
180404,objective,Biodiversity in Antarctic and Southern Ocean environments,1804
180405,objective,"Control of pests, diseases and exotic species in Antarctic and Southern Ocean environments",1804
180406,objective,Protection and conservation of Antarctic and Southern Ocean environments,1804
180407,objective,Water quality in Antarctic and Southern Ocean environments,1804
180499,objective,Management of Antarctic and Southern Ocean environments not elsewhere classified,1804
1805,group,Marine systems and management,18
180501,objective,Assessment and management of benthic marine ecosystems,1805
